,Title,Price,Condition,Shipping,Item URL
10,Neumann U87Ai Multi-Pattern Studio Conde...,"$3,500",Brand New,Shipping Fees Apply,https://reverb.com/item/2612471-neumann-u87ai-multi-pattern-studio-condenser-microphone-nickel
11,"PRICE DROP
Neumann U 87 Ai Set Z with Sh...","$2,349",Used – Mint,Shipping Fees Apply,https://reverb.com/item/74052844-neumann-u-87-ai-set-z-with-shockmount-present-nickel
12,"Neumann Vintage U87 Mid 70s - Silver
Use...","$3,800",Used – Very Good,Shipping Fees Apply,https://reverb.com/item/73264103-neumann-vintage-u87-mid-70s-silver
13,Neumann U 87 Vintage 1971 Microphone - N...,"$3,999.99",Used – Very Good,Shipping Fees Apply,https://reverb.com/item/74085755-neumann-u-87-vintage-1971-microphone-nice
14,Neumann U87 #26822 (Vintage): Large-diap...,"$4,719.75",Used – Very Good,Shipping Fees Apply,https://reverb.com/item/73845407-neumann-u87-26822-vintage-large-diaphragm-condenser-microphone
15,"REVERB BUMP
Neumann Vintage U87 Mid 70s ...","$3,800",Used – Very Good,Shipping Fees Apply,https://reverb.com/item/73264103-neumann-vintage-u87-mid-70s-silver?bk=eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiI2YjY3ZjE4NS00NDYxLTRmNTktYWJmNy01NzA4MzllM2Q2YWIiLCJpYXQiOjE2OTY1NzY0NDIsInVzZXJfaWQiOiIiLCJzZXNzaW9uX2lkIjoiIiwiY29va2llX2lkIjoiNzNkOTE3ZDktM2M1Yy00ZTFiLWFhZGEtZDllMDBmNDg2MWY4IiwicHJvZHVjdF9pZCI6IjczMjY0MTAzIiwic291cmNlIjoiTk9ORSJ9.AErejHtrfUN3JlyMYe9p5dKqpWmnTCMxNx7JSJGQwFg
16,"REVERB BUMP
Neumann U87AI SETZ Multi-Pat...","$3,695",Brand New,Shipping Fees Apply,https://reverb.com/item/2008849-neumann-u87ai-setz-multi-pattern-condenser-microphone-set-nickel-w-shockmount-cable-windscreen?bk=eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiI4NDU2Njc3Yi0wMDg4LTRkMTYtYTE0NS1kNjYwYWMzMDQwMzIiLCJpYXQiOjE2OTY1NzY0NDIsInVzZXJfaWQiOiIiLCJzZXNzaW9uX2lkIjoiIiwiY29va2llX2lkIjoiNzNkOTE3ZDktM2M1Yy00ZTFiLWFhZGEtZDllMDBmNDg2MWY4IiwicHJvZHVjdF9pZCI6IjIwMDg4NDkiLCJzb3VyY2UiOiJOT05FIn0.Nfa6yqLdWJpN5I5jZabxsobV80PBo4jv5lMfoxDOTUs
17,"Neumann U87 ai microphone
Brand New","$3,295",Brand New,Free Shipping,https://reverb.com/item/750520-neumann-u87-ai-microphone
18,Neumann U 87 Ai Owned by Portugal. The M...,"$2,760",Used – Excellent,Shipping Fees Apply,https://reverb.com/item/72472004-neumann-u-87-ai-owned-by-portugal-the-man
19,"PRICE DROP
Neumann U 87 Rhodium Edition ...","$5,000",Used – Mint,Shipping Fees Apply,https://reverb.com/item/73183963-neumann-u-87-rhodium-edition-set-limited-edition
20,"PRICE DROP
Neumann U87 1967 - Nickel
Use...","$6,000",Used – Good,Shipping Fees Apply,https://reverb.com/item/72929612-neumann-u87-1967-nickel
21,"PRICE DROP
Neumann U 87 Ai Set with Shoc...","$2,750",Used – Excellent,Shipping Fees Apply,https://reverb.com/item/73010302-neumann-u-87-ai-set-with-shockmount-1986-present-nickel-recently-serviced
22,"REVERB BUMP
Neumann WS 87 Windscreen for...",$69,Brand New,Shipping Fees Apply,https://reverb.com/item/35351934-neumann-ws-87-windscreen-for-u-67-u-87-tlm-103-tlm-50-tl?bk=eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiI0YjdiMjBmOS1iNDk0LTQ5ODYtYjIxYi1kMTQ2ZTg1MGNiOWMiLCJpYXQiOjE2OTY1NzY0NDIsInVzZXJfaWQiOiIiLCJzZXNzaW9uX2lkIjoiIiwiY29va2llX2lkIjoiNzNkOTE3ZDktM2M1Yy00ZTFiLWFhZGEtZDllMDBmNDg2MWY4IiwicHJvZHVjdF9pZCI6IjM1MzUxOTM0Iiwic291cmNlIjoiTk9ORSJ9.qSxKujx83-piQYW1x96YziTHrWpJNavymWhXHKURixI
23,"REVERB BUMP
Neumann U87 AI Large Condens...","$2,788",Used – Mint,Shipping Fees Apply,https://reverb.com/item/73979172-neumann-u87-ai-large-condenser-microphone-w-shockmount-openbox-new?bk=eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiJlNzFlYzNjNS0wNzUyLTRlZmYtYTBkNi02YzAzZmY2NDAxOGIiLCJpYXQiOjE2OTY1NzY0NDIsInVzZXJfaWQiOiIiLCJzZXNzaW9uX2lkIjoiIiwiY29va2llX2lkIjoiNzNkOTE3ZDktM2M1Yy00ZTFiLWFhZGEtZDllMDBmNDg2MWY4IiwicHJvZHVjdF9pZCI6IjczOTc5MTcyIiwic291cmNlIjoiTk9ORSJ9.7hn2ocRX2p01HvPDxajEnNnePRnsEccSW9mcKhbUZeI
24,Neumann U 87 Ai Set Large-diaphragm Cond...,"$3,695",Brand New,Free Shipping,https://reverb.com/item/2079393-neumann-u-87-ai-set-large-diaphragm-condenser-microphone-nickel
25,Neumann U 87 Ai Large Diaphragm Multipat...,"$3,000",Used – Excellent,Shipping Fees Apply,https://reverb.com/item/59775499-neumann-u-87-ai-large-diaphragm-multipattern-condenser-microphone-1986-present-nickel
26,"Neumann U 87 Ai
Brand New","$3,199",Brand New,Free Shipping,https://reverb.com/item/4675112-neumann-u-87-ai
27,Neumann U 87 Ai Large-diaphragm Condense...,"$2,800",Used – Excellent,Free Shipping,https://reverb.com/item/70782490-neumann-u-87-ai-large-diaphragm-condenser-microphone-matte-black
28,Neumann U 87 Large Diaphragm Multipatter...,"$4,717.40",Used – Excellent,Shipping Fees Apply,https://reverb.com/item/74128161-neumann-u-87-large-diaphragm-multipattern-condenser-microphone-1967-1985-nickel
29,"REVERB BUMP
Neumann U 87 Ai Set Large-Di...","$3,500",Brand New,Free Shipping,https://reverb.com/item/38159224-neumann-u-87-ai-set-large-diaphragm-condenser-microphone-nickel?bk=eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiI2ZWNmZjFiOC1lMjMyLTQzZWUtYTc3My1mZjYzNjRkNTQ0ZTMiLCJpYXQiOjE2OTY1NzY0NDIsInVzZXJfaWQiOiIiLCJzZXNzaW9uX2lkIjoiIiwiY29va2llX2lkIjoiNzNkOTE3ZDktM2M1Yy00ZTFiLWFhZGEtZDllMDBmNDg2MWY4IiwicHJvZHVjdF9pZCI6IjM4MTU5MjI0Iiwic291cmNlIjoiTk9ORSJ9.KC5okNblP0L6POZkJrWIh51_6QgXsCOPGUyLFaDTBS4
30,"REVERB BUMP
Neumann U 87 Ai Set Large-Di...","$3,695",Brand New,Free Shipping,https://reverb.com/item/64848773-neumann-u-87-ai-set-large-diaphragm-condenser-microphone-matte-black?bk=eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiI1Njg0MDYyNS0yMDAwLTQxZmMtODIyYS01ZWRjM2JmYjAzOTMiLCJpYXQiOjE2OTY1NzY0NDIsInVzZXJfaWQiOiIiLCJzZXNzaW9uX2lkIjoiIiwiY29va2llX2lkIjoiNzNkOTE3ZDktM2M1Yy00ZTFiLWFhZGEtZDllMDBmNDg2MWY4IiwicHJvZHVjdF9pZCI6IjY0ODQ4NzczIiwic291cmNlIjoiTk9ORSJ9.pfOQw3tVsxjcHisz3VcZmdhxgIkEutKQzT_nPF6cEJ4
31,Neumann U87AI SETZ Multi-Pattern Condens...,"$3,695",Brand New,Shipping Fees Apply,https://reverb.com/item/2008849-neumann-u87ai-setz-multi-pattern-condenser-microphone-set-nickel-w-shockmount-cable-windscreen
32,"Neumann U87Ai Set Z Microphone
Brand New","$3,695",Brand New,Free Shipping,https://reverb.com/item/219437-neumann-u87ai-set-z-microphone
33,Neumann U 87 Ai Set Z Multi-Pattern Cond...,"$3,695",Brand New,Free Shipping,https://reverb.com/item/69964242-neumann-u-87-ai-set-z-multi-pattern-condenser-microphone-w-shock-mount-nickel
34,Neumann U87 Ai Vintage '80s Microphone M...,"$2,499.99",Used – Good,Shipping Fees Apply,https://reverb.com/item/53916270-neumann-u87-ai-vintage-80s-microphone-matte-black-nice
35,Neumann U87 AI Large Condenser Microphon...,"$2,788",Used – Mint,Shipping Fees Apply,https://reverb.com/item/73979172-neumann-u87-ai-large-condenser-microphone-w-shockmount-openbox-new
36,"REVERB BUMP
Neumann U 87 Ai - Matte Blac...","$2,300",Used – Excellent,Shipping Fees Apply,https://reverb.com/item/74074487-neumann-u-87-ai-matte-black?bk=eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiI4NDM4ZjVmZC00ZDY5LTQyNjctYjliNi03YmYyMzQyYzhkODUiLCJpYXQiOjE2OTY1NzY0NDIsInVzZXJfaWQiOiIiLCJzZXNzaW9uX2lkIjoiIiwiY29va2llX2lkIjoiNzNkOTE3ZDktM2M1Yy00ZTFiLWFhZGEtZDllMDBmNDg2MWY4IiwicHJvZHVjdF9pZCI6Ijc0MDc0NDg3Iiwic291cmNlIjoiTk9ORSJ9.yu_j9wEsPjCVq-uul7SPfq3mmyW63nHcMIFUJkxxJcE
37,"REVERB BUMP
Neumann U87Ai Large-Diaphrag...","$3,695",Brand New,Free Shipping,https://reverb.com/item/5435449-neumann-u87ai-large-diaphragm-condenser-microphone-with-shock-mount-case-and-cable-nickel?bk=eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiI4MGQ4OTU0NS1iMzgwLTRmYjAtYWU1NS1lOWExODgwNTAzYjUiLCJpYXQiOjE2OTY1NzY0NDIsInVzZXJfaWQiOiIiLCJzZXNzaW9uX2lkIjoiIiwiY29va2llX2lkIjoiNzNkOTE3ZDktM2M1Yy00ZTFiLWFhZGEtZDllMDBmNDg2MWY4IiwicHJvZHVjdF9pZCI6IjU0MzU0NDkiLCJzb3VyY2UiOiJOT05FIn0.NDqS8zcDot28pGJmrZC4reOTKFFd2NAV37GZWLw0PqE
38,"PRICE DROP
Neumann U 87 Ai Large Diaphra...","$2,800",Used – Mint,Shipping Fees Apply,https://reverb.com/item/73035604-neumann-u-87-ai-large-diaphragm-multipattern-condenser-microphone-1986-present-nickel
39,Neumann U 87 Ai Large Diaphragm Multipat...,"$3,000",Used – Mint,Shipping Fees Apply,https://reverb.com/item/66001151-neumann-u-87-ai-large-diaphragm-multipattern-condenser-microphone
40,"Neumann WS 87 Windscreen for U 67, U 87,...",$69,Brand New,Shipping Fees Apply,https://reverb.com/item/35351934-neumann-ws-87-windscreen-for-u-67-u-87-tlm-103-tlm-50-tl
41,Neumann U 87 Large Diaphragm Multipatter...,"$4,925.84",Used – Excellent,Shipping Fees Apply,https://reverb.com/item/73197060-neumann-u-87-large-diaphragm-multipattern-condenser-microphone-nickel-original-box-original-neumann-spin-warranty
42,Neumann Neumann U 87 Ai Set Large-Diaphr...,"$3,100",Used – Excellent,Shipping Fees Apply,https://reverb.com/item/67815317-neumann-neumann-u-87-ai-set-large-diaphragm-condenser-microphone-nickel-2021-nickel
43,"REVERB BUMP
Neumann U 87 Ai
Brand New","$3,199",Brand New,Free Shipping,https://reverb.com/item/4675112-neumann-u-87-ai?bk=eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiI5MmYzM2M3My1mMzA5LTQ1ZjgtODdhNy1iMGYxYTJjNjgwMmMiLCJpYXQiOjE2OTY1NzY0NDIsInVzZXJfaWQiOiIiLCJzZXNzaW9uX2lkIjoiIiwiY29va2llX2lkIjoiNzNkOTE3ZDktM2M1Yy00ZTFiLWFhZGEtZDllMDBmNDg2MWY4IiwicHJvZHVjdF9pZCI6IjQ2NzUxMTIiLCJzb3VyY2UiOiJOT05FIn0.-NgC-uy1w_OVQ8acbTf6VCPo6SS8Dw_-WTp-YiQQf7s
44,"REVERB BUMP
Neumann U 87 Ai Set Large-Di...","$2,974.99",Used – Excellent,Free Shipping,https://reverb.com/item/59845487-neumann-u-87-ai-set-large-diaphragm-condenser-microphone-nickel?bk=eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiIyZWNhNGJiZC0wMTBjLTQ4MmQtOTdiYi1kNGY2YzhmNGU3NGQiLCJpYXQiOjE2OTY1NzY0NDIsInVzZXJfaWQiOiIiLCJzZXNzaW9uX2lkIjoiIiwiY29va2llX2lkIjoiNzNkOTE3ZDktM2M1Yy00ZTFiLWFhZGEtZDllMDBmNDg2MWY4IiwicHJvZHVjdF9pZCI6IjU5ODQ1NDg3Iiwic291cmNlIjoiTk9ORSJ9.ikScPSPLKOPBvNrfQ1F1SaHFAlvHO4RIcl7efr18Jp4
45,Neumann U-87 Later 1970’s or early 1980’...,"$4,500",Used – Excellent,Shipping Fees Apply,https://reverb.com/item/72876231-neumann-u-87-later-1970-s-or-early-1980-s-nickel
46,"PRICE DROP
Neumann U87 - Vintage Condens...","$3,999",Used – Excellent,Shipping Fees Apply,https://reverb.com/item/72013583-neumann-u87-vintage-condenser-microphone
47,Neumann U 87 Large Diaphragm Multipatter...,"$4,500",Used – Good,Free Shipping,https://reverb.com/item/73475765-neumann-u-87-large-diaphragm-multipattern-condenser-microphone-1967-1985-nickel
48,"PRICE DROP
Neumann U87i vintage 1976 w/ ...","$4,395",Used – Good,Free Shipping,https://reverb.com/item/62925476-neumann-u87i-vintage-1976-w-brand-new-genuine-neumann-kk87-capsule
49,"ON SALE
Neumann U 87 Ai Studio Microphon...","$3,251.60",Used – Mint,Free Shipping,https://reverb.com/item/68891906-neumann-u-87-ai-studio-microphone-set-with-case
50,"REVERB BUMP
Neumann U 87 Ai MT Matched S...","$7,495",Brand New,Shipping Fees Apply,https://reverb.com/item/42892701-neumann-u-87-ai-mt-matched-stereo-pair-condenser-microphones-black?bk=eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiJjNDkxMmU4Yy0zYzA3LTQ0NGYtYjMyMS1mMDRlOGQ3ZjBkYTAiLCJpYXQiOjE2OTY1NzY0NDIsInVzZXJfaWQiOiIiLCJzZXNzaW9uX2lkIjoiIiwiY29va2llX2lkIjoiNzNkOTE3ZDktM2M1Yy00ZTFiLWFhZGEtZDllMDBmNDg2MWY4IiwicHJvZHVjdF9pZCI6IjQyODkyNzAxIiwic291cmNlIjoiTk9ORSJ9.UsC8ecqL0bFMa6mfkfEQvQ3lHbNi-HhutMO-JUSc2Ao
51,"Neumann U87 AI
Used – Very Good","$2,150",Used – Very Good,Free Shipping,https://reverb.com/item/74198655-neumann-u87-ai
52,"PRICE DROP
Neumann U87 Ai Mic - Serviced...","$2,462.92",Used – Excellent,Shipping Fees Apply,https://reverb.com/item/53178724-neumann-u87-ai-mic-serviced-by-neumann-warranty
53,Neumann U87 Stephen Paul Mod Condenser M...,"$4,995",Used – Good,Shipping Fees Apply,https://reverb.com/item/68719179-neumann-u87-stephen-paul-mod-condenser-microphone-dennis-herring-49249
54,"PRICE DROP
Neumann U 87 Large Diaphragm ...","$4,450",Used – Very Good,Shipping Fees Apply,https://reverb.com/item/50854434-neumann-u-87-large-diaphragm-multipattern-condenser-microphone-1967-1985-nickel
55,"PRICE DROP
Neumann U 87 Ai - Stunning Ex...","$2,737.19",Used – Mint,Shipping Fees Apply,https://reverb.com/item/60694633-neumann-u-87-ai-stunning-example-boxed-shockmount-warranty
56,"PRICE DROP
Vintage 1975 Neumann U87 EXCE...","$4,350",Used – Very Good,Free Shipping,https://reverb.com/item/66969617-vintage-1975-neumann-u87-excellent
57,Neumann U 87 Ai Large Diaphragm Multipat...,"$1,900",Used – Very Good,Shipping Fees Apply,https://reverb.com/item/73623717-neumann-u-87-ai-large-diaphragm-multipattern-condenser-microphone-1986-present-nickel
58,"PRICE DROP
Neumann U 87 Vintage Micropho...","$5,600",Used – Excellent,Shipping Fees Apply,https://reverb.com/item/70600697-neumann-u-87-vintage-microphone
59,Neumann U 87 Ai Large Diaphragm Multi-Pa...,"$3,500",Brand New,Free Shipping,https://reverb.com/item/5767721-neumann-u-87-ai-large-diaphragm-multi-pattern-condenser-microphone-nickel
